unstructured_name,rx_norm,type
tabs duphaston 40mg stat then 10mg 12hourly for 1 month,progesterone,Drug
tab vildagliptin 50mg bd x 1/12,Vildagliptin,Drug
"IV OXYTOCIN I PACKET, IM ERGOT X2 AMPUOLES, TABS CYTOTEC 800MCG STAT",oxytocin,Drug
Sublingual ondasetron 4 mg stat: then bd 2/7,ondansetron,Drug
tetanustoxoid,diphtheria toxoid vaccine / tetanus toxoid vaccine,Drug
IM ARTHMETER 30MG +PLASIL 5MG,"artemether, metoclopramide",Drug
tabs fluconazole 200mg bd x 1/52,fluconazole,Drug
gutt Eye Epicrom Igtt tds*3/52,cromolyn sodium,Drug
TABS NORGESIC 1 BD FOR 5DAYS,"orphenadrine citrate, acetaminophen",Drug
iv cefuroxime 750mg start 500mg 12hrly,cefuroxime sodium,Drug
tabs amitriptyline 1 nocte x3days.,amitriptyline,Drug
tabs carvedilol 6.125mg bd for 2 wks,carvedilol,Drug
TAB ALDOMENT 500MG TDS X 1/52,methyldopa,Drug
Commece HAART,efavirenz / lamivudine / tenofovir disoproxil fumarate,Drug
vitamin B6 50 MG Oral Tablet,vitamin B6,Drug
IV Amikacin 68.5mg 12hrly,amikacin,Drug
lm TT 0.5MLS STAT.,diphtheria toxoid vaccine / tetanus toxoid vaccine,Drug
Tab Daonil 5mg bd,Glibenclamide,Drug
triple action cream.,betamethasone /  clotrimazole /  neomycin,Drug
tab cefexime 400mg dly x1/52,cefixime,Drug
iv buscopan 20mg stat then 10mg 12hrly,hyoscyamine sulfate,Drug
TAB STUGERON 1 BD X 5 DAYS,cinnarizine,Drug
chloramphenicol eyes  drop 2drops 3ce daily,chloramphenicol,Drug
T.T 0.5ML STAT,diphtheria toxoid vaccine / tetanus toxoid vaccine,Drug
Tabs Marcfix I daily - 1/52,"cefixime, clavulanic acid",Drug
iv clindamycin 100mg 8hrly x 72hrs,clindamycin,Drug
TABS ERYTHROMYCIN 500MG 12HRLY X 10/7,erythromycin,Drug
"cofex 10mg bd x5/7,",dextromethorphan hydrobromide / guaifenesin,Drug
TABS TELMISATAN + AMLODIPINE,amlodipine / telmisartan,Drug
tab vasoprin 75mg dly x1/52,acetylsalicylsalicylic acid,Drug
tabs diamox 500mg tid x 2/52,acetazolamide,Drug
TAB MEFANEMIC ACID 500MG DAILY X 1/52,mefenamic acid,Drug
INO2 at 5L/min,oxygen,Drug
tab cocodamol dly 2/52,acetaminophen / codeine phosphate,Drug
tabs dihydrocodeine,dihydrocodeine,Drug
midazolam at 0.2 ml/hour,midazolam,Drug
IVF Ringer's lactate alt 4.3% D/S 700mls 12hrly,calcium chloride / glucose / potassium chloride / sodium chloride / sodium lactate,Drug
IV ACUPAIN 1 Ampoule in 500 mls N/S (each pint of fluid),nefopam,Drug
tabs vit D3 1000mg daily x 1/52,cholecalciferol,Drug
exforge 10/160/12.5 one tab daily,amlodipine / hydrochlorothiazide / valsartan,Drug
doxycycline hyclate 200 MG Delayed Release Oral Tablet,doxycycline hyclate,Drug
tab dequadin lozenges 1 bd for 2/7,dequalinium,Drug
tab amytriptilline 25mg nocte x 2/52,amitriptyline,Drug
panfor,metformin hydrochloride,Drug
tab daonil 5mg daily for 2/52,Glibenclamide,Drug
neurobion 2 bd x1/52,diclofenac sodium / vitamin B complex,Drug
ChloroChloro,chloroquine,Drug
cap tetracycline 250mg,tetracycline,Drug
THEN TABS FANSIDAR 111 STAT,pyrimethamine / sulfadoxine,Drug
tabs buscopan 10mg bd for 2 days,hyoscyamine sulfate,Drug
tabs valsatan 80mg bd x 1/12,valsartan,Drug
ANUSOL TWICES DLY,zinc sulfate monohydrate,Drug
TAB DOXYL 100MG B.D X2/52,doxycycline,Drug
IV Cefuroxime 350mg 12hrly X 2/7,cefuroxime sodium,Drug
tab vasoprin 1 dly x 1/52,acetylsalicylsalicylic acid,Drug
Alternate day wound dressing with honey,honey preparation,Drug
tab DF 118 30mg bd x3/7,dihydrocodeine,Drug
clean and dress with Gentian violet,gentian violet,Drug
16.5mls Trophamine + 16.5mls 5% dextrose water,arginine / histidine / isoleucine / leucine / lysine / methionine / phenylalanine / threonine / tryptophan / valine,Drug
tabs hydrochlorothiazide 12.5mg dly x 10/7,hydrochlorothiazide,Drug
Syr Astyfer 5mls dly x 2/52,ascorbic acid / biotin / ferrous fumarate / folic acid / mecobalamin / niacinamide / pantothenate / pyridoxine / riboflavin / thiamine,Drug
TABS FERROUS 2 DAILY X1/12,ferrous sulfate,Drug
Tavanic 500mg TAB110,levofloxacin,Drug
TAB FLUCONAZOLE 150 MG STAT: MYCOTEN CREAM APPLIED BD 5/7,fluconazole,Drug
IM PCM 150MG STAT +PLASIL 5MG +ARTHEMETER 80MG STAT,"acetaminophen, artemether, metoclopramide",Drug
"throat  lozenges 1 b.d x 5/7, tab co- amoxiclav 625mg b.d x 1/52",benzocaine / menthol / lozenge,Drug
IV CIMETIDINE 400MG BD,cimetidine,Drug
uperio 100mg,sacubitril / valsartan,Drug
"tab p-alaxin 3-3-2, tab pcm 2 tds * 3/7",".alpha.-dihydroartemisinin
",Drug
SUSP DIASTOP 2.5MLS TDS X 3/7,kaolin,Drug
GUTT MOXIFLOXACINE QID,moxifloxacin,Drug
sotalol hydrochloride 80 MG Oral Tablet,sotalol hydrochloride,Drug
nystatin cream apply bid x 1week,nystatin,Drug
tabs metformin 1g bd for 3 wks,metformin hydrochloride,Drug
SYR MARCFIX 6 MLS BD 1/52;,"cefixime, clavulanic acid",Drug
Atorvastatin 10mg,atorvastatin,Drug
clotrimazole cream tds x3/52,clotrimazole,Drug
"SC Insulin 10iu stat,then check RBG 1hr, if RBG >250mg/dl give another 10iu","insulin, regular, human",Drug
tab doxicycline,doxycycline,Drug
Caliaman lotion,calamine,Drug
Tab Nexium 40mg dly x 2/52,esomeprazole,Drug
Avoca  OTH409,silver nitrate,Drug
Iv tranexamic acid 500mg stat!,tranexamic acid,Drug
selenium sulfide 10 MG/ML Medicated Shampoo,selenium sulfide,Drug
Tab Neurovite forte 1 tab OD x 2/52,pyridoxine hydrochloride / thiamine hydrochloride / vitamin b12,Drug
Tab DF 118 30mg bd x 4/7,dihydrocodeine,Drug
nebulize with 5mg of salbutamol + 250mcg of iprtropium bromide (oxygen driven),albuterol / ipratropium bromide,Drug
TAB ATENOLOL 200MG DLY,atenolol,Drug
i.m PCV2,Pneumococcal conjugate vaccine,Drug
duphaston 10mg bd for 10/7,progesterone,Drug
Aldomet 500mg tds',methyldopa,Drug
Tabs Camosunate adult,"Artesunate, Amodiaquine",Drug
"Tabs Erythromycin  500mg tds x1/52, Tabs diclofenac 100mg bid x1/52, Tabs VitC 200MG TDS X1/52.",erythromycin,Drug
"TAB ERYTHROMYCIN 500MG TDS X 5/7, TAB LORATADINE 10MG BD X 3/7",erythromycin,Drug
TABS BUSCUPAN 10MG DAILY X 5/7,hyoscyamine sulfate,Drug
CALAMINE LOTION APPLIED BD 5/7;,calamine,Drug
Syr Astymin 5mg dly 1/12;,ascorbic acid / biotin / folic acid / niacinamide / pantothenic acid / pyridoxine hydrochloride / riboflavin / thiamine / vitamin b12,Drug
Morphine 5MG,morphine,Drug
TABS SPIRONOLACTONE 12.5MG DLY X 5/7,spironolactone,Drug
IV HYOCINE 10MG BD....3/7,hyoscyamine sulfate,Drug
tab colic acid 5mg dly x 1/12;,folic acid,Drug
IVF Mannitol 20% mannitol 500mls stat.,mannitol,Drug
verapamil 80mg,verapamil,Drug
ELICORID 3TABS BD X2WEEK,"amoxicillin, clarithromycin, rabeprazole",Drug
cofex 7.5mls tds x 5/7;,dextromethorphan hydrobromide / guaifenesin,Drug
cont sc mixtard 28iu am/ 14iu pm,insulin isophane / human / insulin,Drug
topical bacitracin,bacitracin zinc,Drug
mefenix,mefenamic acid,Drug
tabs aldomet 500mg tds x 1week,methyldopa,Drug
tab neurobion i bd x 2/52.,diclofenac sodium / vitamin B complex,Drug
tab buscopan 20mg tds x 5/8,hyoscyamine sulfate,Drug
CALAMINE CREAM//,calamine,Drug
"tabs ivermectin 3mg on day 1, 3 and 10",ivermectin,Drug
Tabs Aldomet 250mg tds x 4/52,methyldopa,Drug
Epsom salt solution massage PRN,magnesium sulfate,Drug
aspirin gargle,acetylsalicylsalicylic acid,Drug
tab amitryptilline 12.5mg b.dx 5/7,amitriptyline,Drug
"sus emzolyn expectorant 10ml tds x 5/7, sus amoxyl 250mg bd x 5/7","ammonium chloride, sodium citrate, menthol, diphenhydramine hydrochloride",Drug
syrup cofex 5mls tds x5/7,dextromethorphan hydrobromide / guaifenesin,Drug
SYR EMZOLYN 10MLS BD X 5/7,"ammonium chloride, sodium citrate, menthol, diphenhydramine hydrochloride",Drug
tab hyosine 10 mg bd 3/7;,hyoscyamine sulfate,Drug
2. sc clexane 40iu daily from tomorrow,enoxaparin,Drug
Syr Astymin 10ml bd x 1/52,ascorbic acid / biotin / folic acid / niacinamide / pantothenic acid / pyridoxine hydrochloride / riboflavin / thiamine / vitamin b12,Drug
tab ferrous 400mg bd,ferrous sulfate,Drug
tab metformin 1g daily x 2/52,metformin hydrochloride,Drug
tab isorbide nitrate 5mg dly x 5/7,isosorbide dinitrate,Drug
syr orelox 2.5mls bd x 5/7,cefpodoxime,Drug
tabs fesolate I DLY X2/52,ferrous sulfate,Drug
IM Ergometrine 200mcg stat,methylergonovine,Drug
BROCHICUM 10MLS TDS X1WEEKS,"thyme oil, Primula veris extract",Drug
tab buscopan 5mg bd x 5/7. tab promethazine 25mg bd x 2/7. tab zinc 20mg dly x 2/52. tab act 20/120mg III bd x 3/7. tab pcm 500mg tds x 3/7. tab fleming 375mg bd x 10/7.,hyoscyamine sulfate,Drug
tab moduretic 1 dly x 1/52,amiloride hydrochloride / hydrochlorothiazide,Drug
syrup astyfer 10mls bd x 1/52,ascorbic acid / biotin / ferrous fumarate / folic acid / mecobalamin / niacinamide / pantothenate / pyridoxine / riboflavin / thiamine,Drug
Tab Sitagliptin 50mg dly,sitagliptin,Drug
RECOMMENCE HAART ASAP,efavirenz / lamivudine / tenofovir disoproxil fumarate,Drug
SYRUP BEEHEIVE BALSAAM 3.5MLS BD X 7/7,"glycerin, honey preparation, lemon extract",Drug
penicillin,penicillin G,Drug
Tab Amitryptilline 12.5mg ncote x 3/7,amitriptyline,Drug
pervaginal clotrimazole 100mg nocte x 1/52,clotrimazole,Drug
TABS DARAVITE FORTE I DLY X30/7,calcium ascorbate / calcium threonate / ferrous asparto glycinate / ferrous fumarate / folic acid / succinic acid / vitamin b12,Drug
5mg salbutamol +500mcg ipatropium bromide,albuterol / ipratropium bromide,Drug
TAB HCT12.5MGDLY X2/52,hydrochlorothiazide,Drug
sublingual ondasetron 4mg stat,ondansetron,Drug
"Tab Chloroquine 1g stat, 500mg at the 8th hour, then 500mg at 24hr and 48 hours",chloroquine,Drug
Tab natrilix 1.5mg daily,indapamide,Drug
Tabs folic acid 5mg bd x1/12,folic acid,Drug
chloramphenicol 1 drop tds x5days,chloramphenicol,Drug
Amaryl 2mg,glimepiride,Drug
TAB SILDENAFIL 50MG 30MINS BEFORE INTERCOUSRE DAILY X 1/52,sildenafil,Drug
syrup flucloxacillin 5mls bd x 5/7;,floxacillin,Drug
SC MIXTARD INSULIN 15IU AM,insulin isophane / human / insulin,Drug
TAB VASOPRIL 75 MG DLY 1/12;:,acetylsalicylsalicylic acid,Drug
"apply benzyl benzoate ointment bd for 48 hrs , then repeat after 2 wks",benzyl benzoate,Drug
TAB P-ALAXIN 4-3-3:,".alpha.-dihydroartemisinin
",Drug
sus gascol 10mls 6hrly x 5/7,aluminum hydroxide / magnesium carbonate,Drug
Annusol Cream,zinc sulfate monohydrate,Drug
Camoquine 1.5tab,amodiaquine hydrochloride,Drug
tab imipramine 10mg bd x 2/52.,imipramine,Drug
"lozenges 500mcg tds x4/7,",benzocaine / menthol / lozenge,Drug
IVF NORMAL SALINE 3L OVER 4HRS THEN ALTERNATE WITH FULL STRENGTH DARROWS FLUID 2L OVER 24HRS,potassium chloride / sodium chloride,Drug
tab pregabalin 75mg daily x 1/52;,pregabalin,Drug
tab arthrotec 1 daily x 1/52,diclofenac sodium / misoprostol,Drug
ta orphensic 1g tds x 3/7,"orphenadrine citrate, acetaminophen",Drug
"tab arthrotec 75mg bd * 3/7, tab df118 1 bd * 3/7",diclofenac sodium / misoprostol,Drug
im arthemeter 70mg stat+ im pcm 200mg stat + im placil 5mg stat,"acetaminophen, artemether, metoclopramide",Drug
Tab losartan 100mg,losartan,Drug
Tabs metformin 1g tds x1/12,metformin hydrochloride,Drug
syrup gascol 5 mls b.d for 5/7,aluminum hydroxide / magnesium carbonate,Drug
Tab Diovan 160mg,valsartan,Drug
Syrup Cofex 5ml b.d.x 5/7,dextromethorphan hydrobromide / guaifenesin,Drug
"IV phenobarbitone 5mg/kg/dose stat (100mg) stat, if  seizure not controlled, give 2.5mg/kg/dose stat.(40mg) totalling 140mg",phenobarbital,Drug
iv atrapid insulin10IU then 10IU im then recheck RBS every one hour,"insulin, regular, human",Drug
natrixam10/1.5,indapamide / amlodipine,Drug
